state,district,Year,Month_Name,age_0_5,age_5_17,age_18_greater
West Bengal,Alipurduar,2025,April,38,63,27
West Bengal,Alipurduar,2025,May,42,112,43
West Bengal,Alipurduar,2025,June,207,352,74
West Bengal,Alipurduar,2025,July,646,840,145
West Bengal,Alipurduar,2025,September,240,120,17
West Bengal,Alipurduar,2025,October,108,82,3
West Bengal,Alipurduar,2025,November,136,93,2
West Bengal,Alipurduar,2025,December,104,52,127
Madhya Pradesh,Alirajpur,2025,April,134,105,15
Madhya Pradesh,Alirajpur,2025,May,66,42,25
Madhya Pradesh,Alirajpur,2025,June,376,586,84
Madhya Pradesh,Alirajpur,2025,July,498,884,93
Madhya Pradesh,Alirajpur,2025,September,481,729,15
Madhya Pradesh,Alirajpur,2025,October,514,313,0
Madhya Pradesh,Alirajpur,2025,November,621,421,24
Madhya Pradesh,Alirajpur,2025,December,561,310,113
Uttar Pradesh,Allahabad,2025,September,2828,2582,2
Uttar Pradesh,Allahabad,2025,October,1392,1289,22
Uttar Pradesh,Allahabad,2025,November,1794,1421,24
Uttar Pradesh,Allahabad,2025,December,1240,654,1
Andhra Pradesh,Alluri Sitharama Raju,2025,September,332,47,8
Andhra Pradesh,Alluri Sitharama Raju,2025,October,265,26,4
Andhra Pradesh,Alluri Sitharama Raju,2025,November,280,32,14
Andhra Pradesh,Alluri Sitharama Raju,2025,December,228,11,8
Uttarakhand,Almora,2025,September,355,45,3
Uttarakhand,Almora,2025,October,262,33,2
Uttarakhand,Almora,2025,November,358,34,3
Uttarakhand,Almora,2025,December,253,19,0
Rajasthan,Alwar,2025,April,784,209,39
Rajasthan,Alwar,2025,May,610,179,10
Rajasthan,Alwar,2025,June,670,240,13
Rajasthan,Alwar,2025,July,1837,879,41
Rajasthan,Alwar,2025,September,5235,2311,41
Rajasthan,Alwar,2025,October,2103,1129,38
Rajasthan,Alwar,2025,November,2676,1462,88
Rajasthan,Alwar,2025,December,1849,905,35
Haryana,Ambala,2025,June,245,23,13
Haryana,Ambala,2025,September,699,40,1
Haryana,Ambala,2025,October,614,22,8
Haryana,Ambala,2025,November,974,30,7
Haryana,Ambala,2025,December,531,7,4
Uttar Pradesh,Ambedkar Nagar,2025,April,159,143,10
Uttar Pradesh,Ambedkar Nagar,2025,September,1387,1778,13
Uttar Pradesh,Ambedkar Nagar,2025,October,782,845,6
Uttar Pradesh,Ambedkar Nagar,2025,November,923,855,17
Uttar Pradesh,Ambedkar Nagar,2025,December,605,475,4
Uttar Pradesh,Amethi,2025,September,1436,1468,8
Uttar Pradesh,Amethi,2025,October,769,722,30
Uttar Pradesh,Amethi,2025,November,938,606,16
Uttar Pradesh,Amethi,2025,December,747,455,2
Maharashtra,Amravati,2025,June,280,77,11
Maharashtra,Amravati,2025,July,523,148,13
Maharashtra,Amravati,2025,September,1841,431,19
Maharashtra,Amravati,2025,October,929,127,18
Maharashtra,Amravati,2025,November,1080,136,44
Maharashtra,Amravati,2025,December,1130,106,2
Gujarat,Amreli,2025,April,174,21,43
Gujarat,Amreli,2025,July,558,151,60
Gujarat,Amreli,2025,September,893,226,35
Gujarat,Amreli,2025,October,291,39,41
Gujarat,Amreli,2025,November,778,88,40
Gujarat,Amreli,2025,December,766,62,27
Punjab,Amritsar,2025,March,14,15,20
Punjab,Amritsar,2025,April,959,209,54
Punjab,Amritsar,2025,May,664,284,26
Punjab,Amritsar,2025,July,1293,400,24
Punjab,Amritsar,2025,September,1862,337,21
Punjab,Amritsar,2025,October,866,165,14
Punjab,Amritsar,2025,November,1315,271,40
Punjab,Amritsar,2025,December,660,94,48
Uttar Pradesh,Amroha,2025,April,434,135,11
Uttar Pradesh,Amroha,2025,June,329,240,10
Uttar Pradesh,Amroha,2025,September,1460,720,11
Uttar Pradesh,Amroha,2025,October,921,437,9
Uttar Pradesh,Amroha,2025,November,1364,526,4
Uttar Pradesh,Amroha,2025,December,1097,418,16
Andhra Pradesh,Anakapalli,2025,September,146,4,0
Andhra Pradesh,Anakapalli,2025,October,86,4,0
Andhra Pradesh,Anakapalli,2025,November,169,4,4
Andhra Pradesh,Anakapalli,2025,December,122,0,4
Gujarat,Anand,2025,April,136,30,75
Gujarat,Anand,2025,May,111,22,10
Gujarat,Anand,2025,June,148,57,24
Gujarat,Anand,2025,July,802,192,115
Gujarat,Anand,2025,September,1545,249,29
Gujarat,Anand,2025,October,555,65,82
Gujarat,Anand,2025,November,1315,131,75
Gujarat,Anand,2025,December,1004,82,126
Andhra Pradesh,Anantapur,2025,September,1266,122,0
Andhra Pradesh,Anantapur,2025,October,979,80,0
Andhra Pradesh,Anantapur,2025,November,1232,88,0
Andhra Pradesh,Anantapur,2025,December,612,36,0
Andhra Pradesh,Ananthapur,2025,September,521,50,0
Andhra Pradesh,Ananthapur,2025,October,418,39,0
Andhra Pradesh,Ananthapur,2025,November,476,34,0
Andhra Pradesh,Ananthapur,2025,December,428,28,0
Andhra Pradesh,Ananthapuramu,2025,September,917,52,4
Andhra Pradesh,Ananthapuramu,2025,October,669,42,1
Andhra Pradesh,Ananthapuramu,2025,November,829,41,3
Andhra Pradesh,Ananthapuramu,2025,December,603,24,2
Jammu & Kashmir,Anantnag,2025,September,1,1,0
Jammu and Kashmir,Anantnag,2025,September,860,103,1
Jammu and Kashmir,Anantnag,2025,October,646,83,3
Jammu and Kashmir,Anantnag,2025,November,836,102,25
Jammu & Kashmir,Anantnag,2025,December,2,0,0
Jammu and Kashmir,Anantnag,2025,December,633,52,6
Andaman & Nicobar Islands,Andamans,2025,September,23,4,0
Andaman & Nicobar Islands,Andamans,2025,October,15,0,0
Andaman & Nicobar Islands,Andamans,2025,November,13,0,0
Andaman & Nicobar Islands,Andamans,2025,December,19,1,0
Odisha,Angul,2025,September,1188,199,2
Odisha,Angul,2025,October,371,72,8
Odisha,Angul,2025,November,460,70,2
Odisha,Angul,2025,December,563,72,2
Arunachal Pradesh,Anjaw,2025,September,16,5,0
Arunachal Pradesh,Anjaw,2025,October,1,2,0
Arunachal Pradesh,Anjaw,2025,November,3,4,3
Arunachal Pradesh,Anjaw,2025,December,3,0,0
Andhra Pradesh,Annamayya,2025,September,244,14,48
Andhra Pradesh,Annamayya,2025,October,164,15,6
Andhra Pradesh,Annamayya,2025,November,250,11,30
Andhra Pradesh,Annamayya,2025,December,210,8,21
Odisha,Anugal,2025,October,0,2,0
Odisha,Anugal,2025,December,1,0,0
Odisha,Anugul,2025,September,63,12,0
Orissa,Anugul,2025,September,14,1,0
Odisha,Anugul,2025,October,11,2,0
Orissa,Anugul,2025,October,8,2,0
Odisha,Anugul,2025,November,23,9,0
Orissa,Anugul,2025,November,9,2,0
Odisha,Anugul,2025,December,20,3,0
Orissa,Anugul,2025,December,11,4,0
Madhya Pradesh,Anuppur,2025,September,542,117,0
Madhya Pradesh,Anuppur,2025,October,527,67,5
Madhya Pradesh,Anuppur,2025,November,1016,84,7
Madhya Pradesh,Anuppur,2025,December,779,81,1
Bihar,Araria,2025,June,850,787,39
Bihar,Araria,2025,July,166,108,14
Bihar,Araria,2025,September,2770,1398,17
Bihar,Araria,2025,October,2809,1382,24
Bihar,Araria,2025,November,1602,986,14
Bihar,Araria,2025,December,1742,854,17
Tamil Nadu,Ariyalur,2025,September,657,97,0
Tamil Nadu,Ariyalur,2025,October,392,90,24
Tamil Nadu,Ariyalur,2025,November,550,180,39
Tamil Nadu,Ariyalur,2025,December,328,38,17
Gujarat,Arvalli,2025,April,144,32,30
Gujarat,Arvalli,2025,July,476,103,22
Gujarat,Arvalli,2025,September,490,98,4
Gujarat,Arvalli,2025,October,152,18,12
Gujarat,Arvalli,2025,November,308,47,25
Gujarat,Arvalli,2025,December,382,24,24
Bihar,Arwal,2025,May,43,156,10
Bihar,Arwal,2025,July,60,432,13
Bihar,Arwal,2025,September,215,866,0
Bihar,Arwal,2025,October,183,571,9
Bihar,Arwal,2025,November,177,573,0
Bihar,Arwal,2025,December,134,422,2
Madhya Pradesh,Ashok Nagar,2025,April,342,139,50
Madhya Pradesh,Ashok Nagar,2025,May,161,40,19
Madhya Pradesh,Ashok Nagar,2025,September,1537,604,7
Madhya Pradesh,Ashok Nagar,2025,October,326,116,18
Madhya Pradesh,Ashok Nagar,2025,November,754,209,55
Madhya Pradesh,Ashok Nagar,2025,December,606,177,18
Madhya Pradesh,Ashoknagar,2025,June,437,408,23
Madhya Pradesh,Ashoknagar,2025,July,1157,915,71
Uttar Pradesh,Auraiya,2025,September,840,649,3
Uttar Pradesh,Auraiya,2025,October,372,233,3
Uttar Pradesh,Auraiya,2025,November,618,371,0
Uttar Pradesh,Auraiya,2025,December,339,294,11
Maharashtra,Aurangabad,2025,March,196,103,46
Maharashtra,Aurangabad,2025,April,584,154,53
Maharashtra,Aurangabad,2025,July,2262,1549,24
Bihar,Aurangabad,2025,September,885,2232,8
Maharashtra,Aurangabad,2025,September,3457,1519,2
Bihar,Aurangabad,2025,October,645,1603,21
Maharashtra,Aurangabad,2025,October,1663,477,4
Bihar,Aurangabad,2025,November,816,2028,8
Maharashtra,Aurangabad,2025,November,2354,689,16
Bihar,Aurangabad,2025,December,655,1233,36
Maharashtra,Aurangabad,2025,December,1858,383,0
Bihar,Aurangabad(BH),2025,September,0,1,0
Bihar,Aurangabad(BH),2025,November,2,0,0
Bihar,Aurangabad(BH),2025,December,3,2,0
Bihar,Aurangabad(bh),2025,September,22,16,0
Bihar,Aurangabad(bh),2025,October,7,13,0
Bihar,Aurangabad(bh),2025,November,10,20,0
Bihar,Aurangabad(bh),2025,December,5,12,0
Uttar Pradesh,Ayodhya,2025,June,38,32,12
Uttar Pradesh,Ayodhya,2025,July,262,324,17
Uttar Pradesh,Ayodhya,2025,September,298,111,0
Uttar Pradesh,Ayodhya,2025,October,136,60,0
Uttar Pradesh,Ayodhya,2025,November,193,68,3
Uttar Pradesh,Ayodhya,2025,December,100,39,0
Uttar Pradesh,Azamgarh,2025,April,231,332,26
Uttar Pradesh,Azamgarh,2025,June,109,333,10
Uttar Pradesh,Azamgarh,2025,July,1034,2456,77
Uttar Pradesh,Azamgarh,2025,September,1883,4129,16
Uttar Pradesh,Azamgarh,2025,October,1131,2428,51
Uttar Pradesh,Azamgarh,2025,November,1325,2557,64
Uttar Pradesh,Azamgarh,2025,December,1004,1342,35
Jammu and Kashmir,Badgam,2025,September,473,85,0
Jammu and Kashmir,Badgam,2025,October,319,42,0
Jammu & Kashmir,Badgam,2025,November,0,2,0
Jammu and Kashmir,Badgam,2025,November,425,41,0
Jammu and Kashmir,Badgam,2025,December,457,22,1
Karnataka,Bagalkot,2025,September,2055,384,34
Karnataka,Bagalkot,2025,October,1080,189,7
Karnataka,Bagalkot,2025,November,1289,192,30
Karnataka,Bagalkot,2025,December,1734,135,13
Karnataka,Bagalkot *,2025,September,77,8,0
Karnataka,Bagalkot *,2025,October,51,6,0
Karnataka,Bagalkot *,2025,November,53,7,0
Karnataka,Bagalkot *,2025,December,37,10,0
Uttarakhand,Bageshwar,2025,September,219,22,0
Uttarakhand,Bageshwar,2025,October,143,14,0
Uttarakhand,Bageshwar,2025,November,217,16,1
Uttarakhand,Bageshwar,2025,December,96,13,1
Uttar Pradesh,Baghpat,2025,April,311,224,18
Uttar Pradesh,Baghpat,2025,June,61,171,12
Uttar Pradesh,Baghpat,2025,July,118,280,15
Uttar Pradesh,Baghpat,2025,September,1096,1184,34
Uttar Pradesh,Baghpat,2025,October,613,491,28
Uttar Pradesh,Baghpat,2025,November,738,538,43
Uttar Pradesh,Baghpat,2025,December,545,315,4
Uttar Pradesh,Bagpat,2025,November,0,1,0
Uttar Pradesh,Bahraich,2025,March,69,241,61
Uttar Pradesh,Bahraich,2025,April,1748,1784,281
Uttar Pradesh,Bahraich,2025,May,1485,1891,193
Uttar Pradesh,Bahraich,2025,June,1183,2599,287
Uttar Pradesh,Bahraich,2025,July,3919,6096,532
Uttar Pradesh,Bahraich,2025,September,2606,4385,381
Uttar Pradesh,Bahraich,2025,October,1409,2436,292
Uttar Pradesh,Bahraich,2025,November,1286,1704,225
Uttar Pradesh,Bahraich,2025,December,969,1224,52
Assam,Bajali,2025,September,7,5,0
Assam,Bajali,2025,October,4,0,0
Assam,Bajali,2025,November,3,3,2
Assam,Bajali,2025,December,5,0,0
Assam,Baksa,2025,March,11,14,13
Assam,Baksa,2025,April,408,483,187
Assam,Baksa,2025,May,37,25,20
Assam,Baksa,2025,June,28,12,12
Assam,Baksa,2025,July,110,71,39
Assam,Baksa,2025,September,493,215,1
Assam,Baksa,2025,October,408,128,90
Assam,Baksa,2025,November,322,138,25
Assam,Baksa,2025,December,303,93,13
Madhya Pradesh,Balaghat,2025,July,288,40,10
Madhya Pradesh,Balaghat,2025,September,1901,205,1
Madhya Pradesh,Balaghat,2025,October,1091,71,3
Madhya Pradesh,Balaghat,2025,November,1742,126,7
Madhya Pradesh,Balaghat,2025,December,1215,98,7
Odisha,Balangir,2025,September,1767,381,1
Orissa,Balangir,2025,September,156,47,0
Odisha,Balangir,2025,October,859,219,23
Orissa,Balangir,2025,October,64,20,0
Odisha,Balangir,2025,November,732,173,31
Orissa,Balangir,2025,November,59,16,0
Odisha,Balangir,2025,December,896,151,1
Orissa,Balangir,2025,December,49,25,0
Odisha,Baleshwar,2025,September,275,84,0
Orissa,Baleshwar,2025,September,131,22,0
Odisha,Baleshwar,2025,October,147,44,0
Orissa,Baleshwar,2025,October,86,11,0
Odisha,Baleshwar,2025,November,132,45,0
Orissa,Baleshwar,2025,November,66,6,0
Odisha,Baleshwar,2025,December,87,31,0
Orissa,Baleshwar,2025,December,54,8,0
Odisha,Baleswar,2025,September,2177,465,2
Odisha,Baleswar,2025,October,1032,268,1
Orissa,Baleswar,2025,October,1,0,0
Odisha,Baleswar,2025,November,922,256,0
Odisha,Baleswar,2025,December,733,158,1
Orissa,Baleswar,2025,December,1,1,0
Karnataka,Ballari,2025,September,893,114,24
Karnataka,Ballari,2025,October,425,52,6
Karnataka,Ballari,2025,November,618,53,24
Karnataka,Ballari,2025,December,514,48,10
Uttar Pradesh,Ballia,2025,September,1401,2137,4
Uttar Pradesh,Ballia,2025,October,856,1209,5
Uttar Pradesh,Ballia,2025,November,1083,1618,23
Uttar Pradesh,Ballia,2025,December,739,896,5
Chhattisgarh,Balod,2025,September,507,25,1
Chhattisgarh,Balod,2025,October,324,15,0
Chhattisgarh,Balod,2025,November,432,21,3
Chhattisgarh,Balod,2025,December,340,10,0
Chhattisgarh,Baloda Bazar,2025,May,492,35,17
Chhattisgarh,Baloda Bazar,2025,September,1207,194,8
Chhattisgarh,Baloda Bazar,2025,October,791,81,2
Chhattisgarh,Baloda Bazar,2025,November,1115,189,6
Chhattisgarh,Baloda Bazar,2025,December,744,63,0
Rajasthan,Balotra,2025,November,1,0,0
Uttar Pradesh,Balrampur,2025,April,429,642,32
Uttar Pradesh,Balrampur,2025,June,150,497,16
Chhattisgarh,Balrampur,2025,July,1344,579,65
Uttar Pradesh,Balrampur,2025,July,500,1822,58
Chhattisgarh,Balrampur,2025,September,1275,403,1
Uttar Pradesh,Balrampur,2025,September,849,1598,13
Chhattisgarh,Balrampur,2025,October,614,152,0
Uttar Pradesh,Balrampur,2025,October,615,1216,52
Chhattisgarh,Balrampur,2025,November,787,269,2
Uttar Pradesh,Balrampur,2025,November,898,1219,40
Chhattisgarh,Balrampur,2025,December,573,125,1
Uttar Pradesh,Balrampur,2025,December,740,913,25
Gujarat,Banas Kantha,2025,March,408,223,175
Gujarat,Banas Kantha,2025,June,1459,1675,156
Gujarat,Banas Kantha,2025,July,3990,4787,451
Gujarat,Banas Kantha,2025,September,45,18,0
Gujarat,Banas Kantha,2025,October,21,6,0
Gujarat,Banas Kantha,2025,November,49,8,0
Gujarat,Banas Kantha,2025,December,25,2,0
Gujarat,Banaskantha,2025,April,1685,1358,1001
Gujarat,Banaskantha,2025,May,1146,724,178
Gujarat,Banaskantha,2025,September,2546,2150,91
Gujarat,Banaskantha,2025,October,739,378,151
Gujarat,Banaskantha,2025,November,1803,685,139
Gujarat,Banaskantha,2025,December,2025,486,75
Uttar Pradesh,Banda,2025,March,31,24,11
Uttar Pradesh,Banda,2025,April,458,340,43
Uttar Pradesh,Banda,2025,May,730,804,70
Uttar Pradesh,Banda,2025,June,324,451,12
Uttar Pradesh,Banda,2025,July,401,753,11
Uttar Pradesh,Banda,2025,September,979,1472,10
Uttar Pradesh,Banda,2025,October,548,655,14
Uttar Pradesh,Banda,2025,November,811,674,17
Uttar Pradesh,Banda,2025,December,543,390,15
Jammu and Kashmir,Bandipore,2025,September,366,101,2
Jammu and Kashmir,Bandipore,2025,October,317,81,8
Jammu and Kashmir,Bandipore,2025,November,329,75,31
Jammu and Kashmir,Bandipore,2025,December,276,51,2
Jammu & Kashmir,Bandipur,2025,October,1,0,0
Jammu & Kashmir,Bandipur,2025,December,1,0,0
Karnataka,Bangalore,2025,September,1661,354,1
Karnataka,Bangalore,2025,October,1218,318,2
Karnataka,Bangalore,2025,November,1649,346,0
Karnataka,Bangalore,2025,December,1248,218,1
Karnataka,Bangalore Rural,2025,May,176,35,29
Karnataka,Bangalore Rural,2025,September,568,62,27
Karnataka,Bangalore Rural,2025,October,413,52,31
Karnataka,Bangalore Rural,2025,November,524,61,37
Karnataka,Bangalore Rural,2025,December,570,57,2
Bihar,Banka,2025,June,397,542,36
Bihar,Banka,2025,July,148,269,11
Bihar,Banka,2025,September,1531,1263,2
Bihar,Banka,2025,October,1330,870,20
Bihar,Banka,2025,November,1552,994,7
Bihar,Banka,2025,December,1240,859,3
West Bengal,Bankura,2025,September,2931,851,43
West Bengal,Bankura,2025,October,1844,385,2
West Bengal,Bankura,2025,November,2984,564,1
West Bengal,Bankura,2025,December,1324,322,104
Rajasthan,Banswara,2025,September,1902,1318,3
Rajasthan,Banswara,2025,October,533,408,0
Rajasthan,Banswara,2025,November,1038,770,21
Rajasthan,Banswara,2025,December,730,534,6
Andhra Pradesh,Bapatla,2025,September,113,18,3
Andhra Pradesh,Bapatla,2025,October,75,11,2
Andhra Pradesh,Bapatla,2025,November,133,13,6
Andhra Pradesh,Bapatla,2025,December,100,13,5
Uttar Pradesh,Bara Banki,2025,April,172,72,10
Uttar Pradesh,Bara Banki,2025,September,2168,1422,21
Uttar Pradesh,Bara Banki,2025,October,951,581,22
Uttar Pradesh,Bara Banki,2025,November,1384,714,33
Uttar Pradesh,Bara Banki,2025,December,1101,429,6
Uttar Pradesh,Barabanki,2025,July,1040,692,52
Uttar Pradesh,Barabanki,2025,September,152,118,0
Uttar Pradesh,Barabanki,2025,October,70,40,0
Uttar Pradesh,Barabanki,2025,November,77,48,0
Uttar Pradesh,Barabanki,2025,December,62,24,0
Jammu and Kashmir,Baramula,2025,May,136,39,12
Jammu & Kashmir,Baramula,2025,September,16,1,0
Jammu and Kashmir,Baramula,2025,September,768,162,3
Jammu & Kashmir,Baramula,2025,October,9,0,0
Jammu and Kashmir,Baramula,2025,October,480,103,6
Jammu & Kashmir,Baramula,2025,November,9,2,0
Jammu and Kashmir,Baramula,2025,November,750,147,42
Jammu & Kashmir,Baramula,2025,December,9,1,0
Jammu and Kashmir,Baramula,2025,December,1021,77,1
Rajasthan,Baran,2025,April,379,60,25
Rajasthan,Baran,2025,July,336,91,10
Rajasthan,Baran,2025,September,1575,646,14
Rajasthan,Baran,2025,October,450,175,6
Rajasthan,Baran,2025,November,1001,366,19
Rajasthan,Baran,2025,December,791,320,3
West Bengal,Barddhaman,2025,September,5014,1159,5
West Bengal,Barddhaman,2025,October,2610,637,1
West Bengal,Barddhaman,2025,November,3224,786,2
West Bengal,Barddhaman,2025,December,1968,424,6
Goa,Bardez,2025,September,1,0,0
Goa,Bardez,2025,November,1,0,0
West Bengal,Bardhaman,2025,September,534,165,0
West Bengal,Bardhaman,2025,October,286,83,0
West Bengal,Bardhaman,2025,November,344,120,0
West Bengal,Bardhaman,2025,December,181,60,3
Uttar Pradesh,Bareilly,2025,April,3176,1025,63
Uttar Pradesh,Bareilly,2025,May,1306,574,49
Uttar Pradesh,Bareilly,2025,June,1242,1198,75
Uttar Pradesh,Bareilly,2025,July,1671,1356,45
Uttar Pradesh,Bareilly,2025,September,3019,2296,43
Uttar Pradesh,Bareilly,2025,October,1924,1187,167
Uttar Pradesh,Bareilly,2025,November,2921,1561,137
Uttar Pradesh,Bareilly,2025,December,1928,820,28
Odisha,Bargarh,2025,September,1861,358,0
Orissa,Bargarh,2025,September,47,4,0
Odisha,Bargarh,2025,October,876,171,2
Orissa,Bargarh,2025,October,16,3,0
Odisha,Bargarh,2025,November,823,163,0
Orissa,Bargarh,2025,November,8,0,0
Odisha,Bargarh,2025,December,769,126,1
Orissa,Bargarh,2025,December,11,0,0
Rajasthan,Barmer,2025,June,684,259,10
Rajasthan,Barmer,2025,September,4413,2236,18
Rajasthan,Barmer,2025,October,1430,705,4
Rajasthan,Barmer,2025,November,2342,1158,41
Rajasthan,Barmer,2025,December,1653,875,23
Punjab,Barnala,2025,September,309,32,0
Punjab,Barnala,2025,October,218,12,2
Punjab,Barnala,2025,November,263,25,5
Punjab,Barnala,2025,December,136,10,1
Assam,Barpeta,2025,March,24,34,10
Assam,Barpeta,2025,April,138,54,23
Assam,Barpeta,2025,May,90,83,10
Assam,Barpeta,2025,June,699,376,104
Assam,Barpeta,2025,July,3310,895,184
Assam,Barpeta,2025,September,2848,843,11
Assam,Barpeta,2025,October,1303,408,25
Assam,Barpeta,2025,November,1286,394,158
Assam,Barpeta,2025,December,847,219,7
Madhya Pradesh,Barwani,2025,April,497,313,10
Madhya Pradesh,Barwani,2025,May,2114,1005,55
Madhya Pradesh,Barwani,2025,June,1067,1106,60
Madhya Pradesh,Barwani,2025,July,3561,3348,310
Madhya Pradesh,Barwani,2025,September,2115,1441,92
Madhya Pradesh,Barwani,2025,October,869,371,4
Madhya Pradesh,Barwani,2025,November,1264,437,83
Madhya Pradesh,Barwani,2025,December,1314,334,53
Chhattisgarh,Bastar,2025,September,1151,366,5
Chhattisgarh,Bastar,2025,October,595,309,1
Chhattisgarh,Bastar,2025,November,1056,753,0
Chhattisgarh,Bastar,2025,December,1992,380,0
Uttar Pradesh,Basti,2025,April,140,139,10
Uttar Pradesh,Basti,2025,September,1486,1760,14
Uttar Pradesh,Basti,2025,October,972,1230,27
Uttar Pradesh,Basti,2025,November,1336,1278,14
Uttar Pradesh,Basti,2025,December,889,809,15
Punjab,Bathinda,2025,September,952,123,2
Punjab,Bathinda,2025,October,466,60,1
Punjab,Bathinda,2025,November,604,77,14
Punjab,Bathinda,2025,December,366,38,1
Odisha,Baudh,2025,September,57,17,0
Odisha,Baudh,2025,October,30,7,0
Orissa,Baudh,2025,October,2,0,0
Odisha,Baudh,2025,November,28,5,0
Orissa,Baudh,2025,November,1,0,0
Odisha,Baudh,2025,December,23,4,0
Orissa,Baudh,2025,December,1,0,0
Rajasthan,Beawar,2025,December,1,0,0
Maharashtra,Beed,2025,April,379,52,19
Maharashtra,Beed,2025,May,366,63,15
Maharashtra,Beed,2025,June,659,294,46
Maharashtra,Beed,2025,July,1472,739,72
Maharashtra,Beed,2025,September,1545,741,25
Maharashtra,Beed,2025,October,904,215,7
Maharashtra,Beed,2025,November,1248,264,68
Maharashtra,Beed,2025,December,881,93,18
Bihar,Begusarai,2025,July,377,372,13
Bihar,Begusarai,2025,September,2338,1516,9
Bihar,Begusarai,2025,October,1526,969,23
