district,Year,Month_Name,age_0_5,age_5_17,age_18_greater
Bundi,2025,June,479,341,17
Bundi,2025,July,121,85,17
Bundi,2025,September,1257,410,7
Bundi,2025,October,381,180,6
Bundi,2025,November,709,328,49
Bundi,2025,December,627,234,12
Bundi,2026,January,180,108,3
Chittaurgarh,2025,June,49,25,1
Chittaurgarh,2025,September,138,31,1
Chittaurgarh,2025,October,28,12,0
Chittaurgarh,2025,November,78,20,0
Chittaurgarh,2025,December,39,9,0
Chittaurgarh,2026,January,14,6,1
Chittorgarh,2025,June,412,416,16
Chittorgarh,2025,July,835,701,40
Chittorgarh,2025,September,1361,689,28
Chittorgarh,2025,October,320,179,3
Chittorgarh,2025,November,641,309,46
Chittorgarh,2025,December,536,263,12
Chittorgarh,2026,January,225,126,2
Churu,2025,April,316,141,12
Churu,2025,June,897,997,42
Churu,2025,July,1072,1028,50
Churu,2025,September,2645,1315,12
Churu,2025,October,961,556,6
Churu,2025,November,1481,776,57
Churu,2025,December,1166,600,8
Churu,2026,January,293,311,4
Dausa,2025,June,709,535,12
Dausa,2025,September,1824,643,5
Dausa,2025,October,670,334,0
Dausa,2025,November,1089,502,38
Dausa,2025,December,673,324,5
Dausa,2026,January,201,156,2
Deeg,2025,June,0,0,1
Deeg,2025,October,2,3,0
Deeg,2025,November,3,13,12
Deeg,2025,December,9,21,0
Deeg,2026,January,4,8,1
Deeg ,2025,September,0,2,0
Deeg ,2025,November,1,3,0
Deeg ,2025,December,0,2,0
Deeg ,2026,January,1,1,0
Dhaulpur,2025,June,17,16,0
Dhaulpur,2025,September,45,16,0
Dhaulpur,2025,October,11,11,0
Dhaulpur,2025,November,23,13,0
Dhaulpur,2025,December,14,9,0
Dhaulpur,2026,January,3,8,0
Dholpur,2025,April,947,347,50
Dholpur,2025,June,647,499,14
Dholpur,2025,July,467,247,13
Dholpur,2025,September,2045,844,2
Dholpur,2025,October,618,367,3
Dholpur,2025,November,1017,522,77
Dholpur,2025,December,587,302,4
Dholpur,2026,January,187,140,3
Didwana-Kuchaman,2025,December,2,0,0
Didwana-Kuchaman,2026,January,1,1,0
Dungarpur,2025,April,66,83,13
Dungarpur,2025,June,374,540,15
Dungarpur,2025,September,1620,1149,3
Dungarpur,2025,October,580,377,1
Dungarpur,2025,November,945,666,35
Dungarpur,2025,December,742,387,1
Dungarpur,2026,January,215,199,2
Ganganagar,2025,June,532,299,11
Ganganagar,2025,September,1464,551,9
Ganganagar,2025,October,584,182,2
Ganganagar,2025,November,864,277,26
Ganganagar,2025,December,1355,247,5
Ganganagar,2026,January,414,134,3
Hanumangarh,2025,June,450,236,7
Hanumangarh,2025,July,456,284,11
Hanumangarh,2025,September,1368,384,7
Hanumangarh,2025,October,498,181,0
Hanumangarh,2025,November,743,243,20
Hanumangarh,2025,December,579,191,4
Hanumangarh,2026,January,172,106,2
Jaipur,2025,April,2601,671,162
Jaipur,2025,May,120,70,10
Jaipur,2025,June,2292,1733,56
Jaipur,2025,July,2242,1110,86
Jaipur,2025,September,6530,2576,25
Jaipur,2025,October,2398,1199,13
Jaipur,2025,November,4521,1865,385
Jaipur,2025,December,3027,1403,44
Jaipur,2026,January,979,623,14
Jaisalmer,2025,June,344,398,24
Jaisalmer,2025,September,751,500,8
Jaisalmer,2025,October,265,159,7
Jaisalmer,2025,November,321,217,17
Jaisalmer,2025,December,302,161,5
Jaisalmer,2026,January,91,85,1
Jalor,2025,April,1186,672,124
Jalor,2025,June,619,1003,22
Jalor,2025,September,3095,1889,8
Jalor,2025,October,938,832,5
Jalor,2025,November,1712,1338,87
Jalor,2025,December,1017,1129,8
Jalor,2026,January,355,541,5
Jalore,2025,July,296,181,13
Jalore,2025,November,1,2,0
Jalore,2025,December,1,0,0
Jalore,2026,January,1,1,0
Jhalawar,2025,April,112,49,12
Jhalawar,2025,June,434,417,24
Jhalawar,2025,September,2269,762,7
Jhalawar,2025,October,575,301,1
Jhalawar,2025,November,1291,513,33
Jhalawar,2025,December,811,388,3
Jhalawar,2026,January,246,163,2
Jhunjhunu,2025,June,38,29,0
Jhunjhunu,2025,September,92,48,0
Jhunjhunu,2025,October,41,19,0
Jhunjhunu,2025,November,43,21,0
Jhunjhunu,2025,December,36,9,0
Jhunjhunu,2026,January,11,9,0
Jhunjhunun,2025,June,782,429,24
Jhunjhunun,2025,September,2456,756,16
Jhunjhunun,2025,October,1027,337,13
Jhunjhunun,2025,November,1394,396,51
Jhunjhunun,2025,December,927,264,9
Jhunjhunun,2026,January,301,121,1
Jodhpur,2025,April,1624,565,87
Jodhpur,2025,May,595,190,15
Jodhpur,2025,June,1798,1264,70
Jodhpur,2025,July,1722,828,66
Jodhpur,2025,September,4211,2111,119
Jodhpur,2025,October,1552,726,9
Jodhpur,2025,November,2300,1210,490
Jodhpur,2025,December,2128,838,105
Jodhpur,2026,January,570,423,67
Karauli,2025,April,348,105,12
Karauli,2025,June,880,649,17
Karauli,2025,July,612,323,11
Karauli,2025,September,2050,813,9
Karauli,2025,October,717,385,0
Karauli,2025,November,1414,672,72
Karauli,2025,December,751,409,5
Karauli,2026,January,231,193,3
Khairthal-Tijara,2025,June,0,0,1
Kota,2025,April,37,17,14
Kota,2025,June,643,477,14
Kota,2025,September,2012,756,37
Kota,2025,October,778,322,12
Kota,2025,November,1665,517,41
Kota,2025,December,1119,289,1
Kota,2026,January,304,137,3
Kotputli-Behror,2026,January,1,1,0
Nagaur,2025,April,563,278,32
Nagaur,2025,June,1796,1407,37
Nagaur,2025,July,870,660,21
Nagaur,2025,September,4461,1747,19
Nagaur,2025,October,1374,612,21
Nagaur,2025,November,2374,1033,104
Nagaur,2025,December,1579,758,4
Nagaur,2026,January,554,428,7
Pali,2025,April,138,38,11
Pali,2025,June,1063,972,29
Pali,2025,September,2731,1112,24
Pali,2025,October,895,421,7
Pali,2025,November,1666,724,62
Pali,2025,December,1026,442,15
Pali,2026,January,334,197,2
Pratapgarh,2025,June,318,379,9
Pratapgarh,2025,September,1229,540,3
Pratapgarh,2025,October,294,148,0
Pratapgarh,2025,November,700,259,13
Pratapgarh,2025,December,557,193,2
Pratapgarh,2026,January,114,84,0
Rajsamand,2025,June,528,410,12
Rajsamand,2025,September,1293,590,2
Rajsamand,2025,October,455,239,4
Rajsamand,2025,November,835,335,19
Rajsamand,2025,December,505,220,3
Rajsamand,2026,January,155,78,9
Salumbar,2025,December,1,0,0
Sawai Madhopur,2025,June,637,515,8
Sawai Madhopur,2025,July,593,307,10
Sawai Madhopur,2025,September,1717,685,9
Sawai Madhopur,2025,October,616,317,22
Sawai Madhopur,2025,November,1100,454,41
Sawai Madhopur,2025,December,644,319,0
Sawai Madhopur,2026,January,201,136,17
Sikar,2025,March,41,36,17
Sikar,2025,April,251,62,22
Sikar,2025,June,974,813,23
Sikar,2025,July,461,178,11
Sikar,2025,September,3566,1238,10
Sikar,2025,October,1121,474,1
Sikar,2025,November,1668,563,112
Sikar,2025,December,1071,491,1
Sikar,2026,January,338,246,1
Sirohi,2025,April,349,210,67
Sirohi,2025,May,246,301,10
Sirohi,2025,June,728,909,53
Sirohi,2025,July,1174,1471,72
Sirohi,2025,September,1471,1084,7
Sirohi,2025,October,534,454,19
Sirohi,2025,November,846,538,161
Sirohi,2025,December,671,423,72
Sirohi,2026,January,179,179,5
Tonk,2025,June,599,387,17
Tonk,2025,July,635,332,19
Tonk,2025,September,1555,533,4
Tonk,2025,October,502,182,13
Tonk,2025,November,1005,366,17
Tonk,2025,December,493,211,4
Tonk,2026,January,173,104,4
Udaipur,2025,April,70,47,15
Udaipur,2025,June,920,1227,30
Udaipur,2025,July,511,323,21
Udaipur,2025,September,3271,2205,8
Udaipur,2025,October,1257,981,14
Udaipur,2025,November,2101,1447,125
Udaipur,2025,December,1371,920,8
Udaipur,2026,January,435,477,6
